"id","code","name","account_type","name@uz"
"uz1510","1510","Preparation and purchase of materials","asset_current","Материалларни тайёрлаш ва харид қилиш"
"uz1610","1610","Differences in cost of materials","asset_current","Материаллар қийматидаги фарқлар"
"uz2010","2010","Basic production","asset_current","Асосий ишлаб чиқариш"
"uz2110","2110","Semi-finished products produced in-house","asset_current","Ўзида ишлаб чиқарилган ярим тайёр маҳсулотлар"
"uz2310","2310","Production assistant","asset_current","Ёрдамчи ишлаб чиқариш"
"uz2510","2510","Total production costs","asset_current","Умумий ишлаб чиқариш харажатлари"
"uz2610","2610","Unusable products in production","asset_current","Ишлаб чиқаришдаги яроқсиз маҳсулотлар"
"uz2710","2710","Service farms","asset_current","Хизмат кўрсатувчи хўжаликлар"
"uz2810","2810","Finished products in the warehouse","asset_current","Омбордаги тайёр маҳсулотлар"
"uz2820","2820","Finished products at the exhibition","asset_current","Кўргазмадаги тайёр маҳсулотлар"
"uz2830","2830","Finished products provided under the mediation contract","asset_current","Воситачилик шартномаси бўйича берилган тайёр маҳсулотлар"
"uz2910","2910","Goods in the warehouse","asset_current","Омбордаги товарлар"
"uz2920","2920","Goods in retail trade","asset_current","Чакана савдодаги товарлар"
"uz2930","2930","Goods on display","asset_current","Кўргазмадаги товарлар"
"uz2940","2940","Rental items","asset_current","Прокатдаги буюмлар"
"uz2950","2950","Packed and empty containers with goods","asset_current","Товарлар билан банд ва бўш таралар"
"uz2960","2960","Goods provided under the mediation contract","asset_current","Воситачилик шартномаси бўйича берилган товарлар"
"uz2970","2970","Goods on the road","asset_current","Йўлдаги товарлар"
"uz2980","2980","Trade mastery","asset_current","Савдо устамаси"
"uz2990","2990","Other goods","asset_current","Бошқа товарлар"
"uz3110","3110","Operating rent paid in advance","asset_prepayments","Олдиндан тўланган оператив ижара ҳақи"
"uz3120","3120","Prepaid service fee","asset_prepayments","Олдиндан тўланган хизмат ҳақи"
"uz3190","3190","Other costs of the next period","asset_prepayments","Бошқа келгуси давр харажатлари"
"uz3210","3210","Deferred profit tax on temporary differences","asset_current","Вақтинчалик фарқлар бўйича кечиктирилган фойда солиғи"
"uz3220","3220","Delayed expenses for discounts","asset_current","Дисконт (чегирма)лар бўйича кечиктирилган харажатлар"
"uz3290","3290","Other delayed expenses","asset_current","Бошқа кечиктирилган харажатлар"
"uz4010","4010","Payments from buyers and customers","asset_current","Харидорлар ва буюртмачилардан олинадиган тўловлар"
"uz4020","4020","Received bills","asset_current","Олинган векселлар"
"uz4110","4110","Payments from separate departments","asset_current","Ажратилган бўлинмалардан олинадиган тўловлар"
"uz4120","4120","Payments received from branches and affiliated economic companies","asset_current","Шуъба ва қарам хўжалик жамиятларидан олинадиган тўловлар"
"uz4210","4210","Salary allowances","asset_current","Иш ҳақи бўйича берилган бўнаклар"
"uz4220","4220","Vouchers for business trips","asset_current","Хизмат сафарларига берилган бўнаклар"
"uz4230","4230","Grants for general household expenses","asset_current","Умумхўжалик харажатлари учун берилган бўнаклар"
"uz4290","4290","Other gifts given to employees","asset_current","Ходимларга берилган бошқа бўнаклар"
"uz4310","4310","Vouchers given to suppliers and contractors for material resources","asset_current","Товар-моддий захиралар учун мол етказиб берувчилар ва пудратчиларга берилган бўнаклар"
"uz4320","4320","Loans to suppliers and contractors for long-term assets","asset_non_current","Узоқ муддатли активлар учун мол етказиб берувчилар ва пудратчиларга берилган бўнаклар"
"uz4330","4330","Donations given to others","asset_current","Бошқа берилган бўнаклар"
"uz4410","4410","Payments of taxes and fees to the budget (by types)","asset_current","Бюджетга солиқлар ва йиғимлар бўйича бўнак тўловлари (турлари бўйича)"
"uz4510","4510","Premium payments for insurances","asset_current","Суғурталар бўйича бўнак тўловлари"
"uz4520","4520","Payments to state special funds","asset_current","Давлат мақсадли жамғармаларига бўнак тўловлари"
"uz4610","4610","Credit to the charter capital for the shares of the founders","asset_current","Устав капиталига таъсисчиларнинг улушлари бўйича қарзи"
"uz4710","4710","Employees' debt for goods sold on credit","asset_current","Кредитга сотилган товарлар бўйича ходимларнинг қарзи"
"uz4720","4720","Employees' debt on the given loans","asset_current","Берилган қарзлар бўйича ходимларнинг қарзи"
"uz4730","4730","Employees' debt for compensation of material damage","asset_current","Моддий зарарни қоплаш бўйича ходимларнинг қарзи"
"uz4790","4790","Other debts of employees","asset_current","Ходимларнинг бошқа қарзлари"
"uz4810","4810","Current payments for financial lease","asset_current","Молиявий ижара бўйича олинадиган жорий тўловлар"
"uz4820","4820","Current payments for operating lease","asset_current","Оператив ижара бўйича олинадиган жорий тўловлар"
"uz4830","4830","Earning interest","asset_current","Олинадиган фоизлар"
"uz4840","4840","Dividends received","asset_current","Олинадиган дивидендлар"
"uz4850","4850","Royalty received","asset_current","Олинадиган роялти"
"uz4860","4860","Claim payments","asset_current","Даъволар бўйича олинадиган тўловлар"
"uz4890","4890","Other receivables","asset_receivable","Бошқа дебиторлик қарзлар"
"uz4910","4910","Reserve for doubtful debts","asset_current","Шубҳали қарзлар бўйича резерв"
"uz5010","5010","Money in national currency","asset_cash","Миллий валютадаги пул маблағлари"
"uz5020","5020","Money in foreign currency","asset_cash","Чет эл валютасидаги пул маблағлари"
"uz5110","5110","Calculation sheet","asset_cash","Ҳисоб-китоб ҳисобварағи"
"uz5210","5210","Foreign currency accounts within the country","asset_cash","Мамлакат ичидаги чет эл валютаси ҳисобварақлари"
"uz5220","5220","Foreign currency accounts","asset_cash","Чет элдаги валюта ҳисобварақлари"
"uz5510","5510","Letters of credit","asset_cash","Аккредитивлар"
"uz5520","5520","Check books","asset_cash","Чек дафтарчалари"
"uz5530","5530","Other special accounts","asset_cash","Бошқа махсус ҳисобварақлар"
"uz5610","5610","Cash equivalents (by type)","asset_cash","Пул эквивалентлари (турлари бўйича)"
"uz5710","5710","Money transfers (transfers) on the way","asset_current","Йўлдаги пул маблағ (ўтказма)лари"
"uz5810","5810","Valuable papers","asset_current","Қимматли қоғозлар"
"uz5830","5830","Issued short-term loans","asset_current","Берилган қисқа муддатли қарзлар"
"uz5890","5890","Other current investments","asset_current","Бошқа жорий инвестициялар"
"uz5910","5910","Deficiencies and losses due to deterioration of values","asset_current","Камомадлар ва қийматликларнинг бузилишидан йўқотишлар"
"uz5920","5920","Other current assets","asset_current","Бошқа жорий активлар"
"uz6010","6010","Payments to suppliers and contractors","liability_current","Мол етказиб берувчилар ва пудратчиларга тўловлар"
"uz6020","6020","Issued bills","liability_current","Берилган векселлар"
"uz6110","6110","Payments to separate departments","liability_current","Ажратилган бўлинмаларга тўловлар"
"uz6120","6120","Payments to branch and subsidiary companies","liability_current","Шуъба ва қарам хўжалик жамиятларига тўловлар"
"uz6210","6210","Delayed income in the form of discounts","liability_current","Дисконт (чегирма)лар кўринишидаги кечиктирилган даромадлар"
"uz6220","6220","Delayed earnings in the form of bonuses","liability_current","Мукофот (устама)лар кўринишидаги кечиктирилган даромадлар"
"uz6230","6230","Other deferred income","liability_current","Бошқа кечиктирилган даромадлар"
"uz6240","6240","Late obligations on taxes and fees","liability_current","Солиқлар ва йиғимлар бўйича кечиктирилган мажбуриятлар"
"uz6250","6250","Deferred income tax liabilities on temporary differences","liability_current","Вақтинчалик фарқлар бўйича кечиктирилган фойда солиғи мажбуриятлари"
"uz6290","6290","Other delayed obligations","liability_current","Бошқа кечиктирилган мажбуриятлар"
"uz6310","6310","Receipts from buyers and customers - the current part","liability_current","Харидорлар ва буюртмачилардан олинган бўнаклар — жорий қисми"
"uz6320","6320","Donations received from campaign subscribers","liability_current","Акцияга обуначилардан олинган бўнаклар"
"uz6390","6390","Different cells","liability_current","Бошқа олинган бўнаклар"
"uz6410","6410","Loans for payments to the budget (by types)","liability_current","Бюджетга тўловлар бўйича қарзлар (турлари бўйича)"
"uz6510","6510","Insurance payments","liability_current","Суғурта бўйича тўловлар"
"uz6520","6520","Payments to state special funds","liability_current","Давлат мақсадли жамғармаларига тўловлар"
"uz6610","6610","Dividends payable","liability_current","Тўланадиган дивидендлар"
"uz6620","6620","Loans to departing founders for their shares","liability_current","Чиқиб кетаётган таъсисчиларга улушлари бўйича қарз"
"uz6630","6630","Shares of the founders to increase the charter capital","liability_current","Таъсисчиларнинг устав капиталини ошириш бўйича улушлари"
"uz6710","6710","Settlements with employees on wages","liability_payable","Иш ҳақи бўйича ходимлар билан ҳисоб-китоблар"
"uz6720","6720","Deposited salary","liability_payable","Депонентланган иш ҳақи"
"uz6810","6810","Short term loans","liability_current","Қисқа муддатли кредитлар"
"uz6820","6820","Short term loans","liability_current","Қисқа муддатли қарзлар"
"uz6830","6830","Bonds payable","liability_current","Тўланадиган облигациялар"
"uz6840","6840","Bills payable","liability_current","Тўланадиган векселлар"
"uz6910","6910","Operating rent payable","liability_current","Тўланадиган оператив ижара"
"uz6920","6920","Calculated interest","liability_current","Ҳисобланган фоизлар"
"uz6930","6930","Royalty loans","liability_current","Роялти бўйича қарзлар"
"uz6940","6940","Guaranteed loans","liability_current","Кафолатлар бўйича қарзлар"
"uz6950","6950","Long-term liabilities - current part","liability_current","Узоқ муддатли мажбуриятлар — жорий қисми"
"uz6960","6960","Claim payments","liability_current","Даъволар бўйича тўловлар"
"uz6970","6970","Loans to account holders","liability_current","Ҳисобдор шахсларга бўлган қарзлар"
"uz6990","6990","Other obligations","liability_current","Бошқа мажбуриятлар"
"uz7010","7010","Long-term payments to suppliers and contractors","liability_non_current","Мол етказиб берувчилар ва пудратчиларга узоқ муддатли тўловлар"
"uz7020","7020","Issued long-term bills","liability_non_current","Берилган узоқ муддатли векселлар"
"uz7110","7110","Long-term loans to separate units","liability_non_current","Ажратилган бўлинмаларга бўлган узоқ муддатли қарзлар"
"uz7120","7120","Long-term loans to branches and subsidiaries","liability_non_current","Шуъба ва қарам хўжалик жамиятларига бўлган узоқ муддатли қарзлар"
"uz7210","7210","Long-term deferred income in the form of discounts","liability_non_current","Дисконт (чегирма)лар кўринишидаги узоқ муддатли кечиктирилган даромадлар"
"uz7220","7220","Long-term deferred income in the form of bonuses","liability_non_current","Мукофот (устама)лар кўринишидаги узоқ муддатли кечиктирилган даромадлар"
"uz7230","7230","Other long-term deferred income","liability_non_current","Бошқа узоқ муддатли кечиктирилган даромадлар"
"uz7240","7240","Long-term overdue liabilities for taxes and fees","liability_non_current","Солиқлар ва йиғимлар бўйича узоқ муддатли кечиктирилган мажбуриятлар"
"uz7250","7250","Long-term deferred income tax liabilities on temporary differences","liability_non_current","Вақтинчалик фарқлар бўйича кечиктирилган фойда солиғи узоқ муддатли мажбуриятлари"
"uz7290","7290","Other long-term deferred liabilities","liability_non_current","Бошқа узоқ муддатли кечиктирилган мажбуриятлар"
"uz7310","7310","Receipts from customers and clients are the long-term part","liability_non_current","Харидорлар ва буюртмачилардан олинган бўнаклар — узоқ муддатли қисми"
"uz7810","7810","Long-term loans","liability_non_current","Узоқ муддатли кредитлар"
"uz7820","7820","Long-term loans","liability_non_current","Узоқ муддатли қарзлар"
"uz7830","7830","Long-term bonds payable","liability_non_current","Тўланадиган узоқ муддатли облигациялар"
"uz7840","7840","Long-term bills payable","liability_non_current","Тўланадиган узоқ муддатли векселлар"
"uz7910","7910","Financial lease payable","liability_non_current","Тўланадиган молиявий ижара"
"uz7920","7920","Other long-term debts to creditors","liability_non_current","Кредиторларга бўлган бошқа узоқ муддатли қарзлар"
"uz8310","8310","Ordinary shares","equity","Оддий акциялар"
"uz8320","8320","Preferential shares","equity","Имтиёзли акциялар"
"uz8330","8330","Interests and shares","equity","Пай ва улушлар"
"uz8410","8410","Emission income","equity","Эмиссия даромади"
"uz8420","8420","Exchange rate difference in formation of charter capital","equity","Устав капиталини шакллантиришдаги курс фарқи"
"uz8510","8510","Adjustments for revaluation of long-term assets","equity","Узоқ муддатли активларни қайта баҳолаш бўйича тузатишлар"
"uz8520","8520","Reserve capital (fund)","equity","Резерв капитали (фонди)"
"uz8530","8530","Free property","equity","Текинга олинган мулк"
"uz8610","8610","Purchased private shares are common","equity","Сотиб олинган хусусий акциялар — оддий"
"uz8620","8620","Purchased private shares - preferential","equity","Сотиб олинган хусусий акциялар — имтиёзли"
"uz8710","8710","Undistributed profit (unreimbursed loss) of the reporting period","equity_unaffected","Ҳисобот даврининг тақсимланмаган фойдаси (қопланмаган зарари)"
"uz8720","8720","Retained Earnings (Unreimbursed Damages)","equity","Жамғарилган фойда (қопланмаган зарар)"
"uz8810","8810","Grants","liability_current","Грантлар"
"uz8820","8820","Subsidies","liability_current","Субсидиялар"
"uz8830","8830","Membership fees","liability_current","Аъзолик бадаллари"
"uz8840","8840","Targeted tax benefits","liability_current","Мақсадли фойдаланиладиган солиқ имтиёзлари"
"uz8890","8890","Other targeted crops","liability_non_current","Бошқа мақсадли тушумлар"
"uz8910","8910","Reserves for future expenses and payments","liability_non_current","Келгуси харажатлар ва тўловлар резервлари"
"uz9010","9010","Income from the sale of finished products","income","Тайёр маҳсулотларни сотишдан даромадлар"
"uz9020","9020","Income from the sale of goods","income","Товарларни сотишдан даромадлар"
"uz9030","9030","Income from work and services","income","Ишлар бажариш ва хизматлар кўрсатишдан даромадлар"
"uz9040","9040","Return of sold goods (products).","income","Сотилган товарлар (маҳсулотлар)нинг қайтиши"
"uz9050","9050","Discounts for buyers and customers","expense","Харидорлар ва буюртмачиларга берилган чегирмалар"
"uz9110","9110","Cost of finished products sold","expense_direct_cost","Сотилган тайёр маҳсулотларнинг таннархи"
"uz9120","9120","Cost of goods sold","expense_direct_cost","Сотилган товарларнинг таннархи"
"uz9130","9130","The cost of the work performed and the services provided","expense_direct_cost","Бажарилган иш ва кўрсатилган хизматларнинг таннархи"
"uz9140","9140","Purchase/purchase of goods and material resources in the current account","expense_direct_cost","Даврий ҳисобда товар-моддий захираларни сотиб олиш/харид қилиш"
"uz9150","9150","Corrections for goods and material resources in the periodic account","expense_direct_cost","Даврий ҳисобда товар-моддий захиралар бўйича тузатишлар"
"uz9210","9210","Removal of fixed assets","income_other","Асосий воситаларнинг чиқиб кетиши"
"uz9220","9220","Outgoing other assets","income_other","Бошқа активларнинг чиқиб кетиши"
"uz9310","9310","Profit from the departure of the main means","income_other","Асосий воситаларнинг чиқиб кетишидан фойда"
"uz9320","9320","Profit from the exit of other assets","income_other","Бошқа активларнинг чиқиб кетишидан фойда"
"uz9330","9330","Collected fines, penalties and interest","income_other","Ундирилган жарима, пеня ва устамалар"
"uz9340","9340","Benefits of previous years","income_other","Ўтган йиллар фойдалари"
"uz9350","9350","Operating income from rent","income_other","Оператив ижарадан даромадлар"
"uz9360","9360","Creditor and depositor income from debt write-off","income_other","Кредитор ва депонент қарзларни ҳисобдан чиқаришдан даромадлар"
"uz9370","9370","Incomes of service farms","income_other","Хизмат кўрсатувчи хўжаликлар даромадлари"
"uz9380","9380","Non-refundable financial aid","income_other","Қайтарилмайдиган молиявий ёрдам"
"uz9390","9390","Other operating income","income_other","Бошқа операцион даромадлар"
"uz9410","9410","Selling expenses","expense","Сотиш харажатлари"
"uz9420","9420","Administrative expenses","expense","Маъмурий харажатлар"
"uz9430","9430","Other operating expenses","expense","Бошқа операцион харажатлар"
"uz9510","9510","Income in the form of royalties","income_other","Роялти кўринишидаги даромадлар"
"uz9520","9520","Income in the form of dividends","income_other","Дивидендлар кўринишидаги даромадлар"
"uz9530","9530","Interest income","income_other","Фоизлар кўринишидаги даромадлар"
"uz9540","9540","Income from exchange rate differences","income_other","Валюталар курслари фарқидан даромадлар"
"uz9550","9550","Income from financial lease","income_other","Молиявий ижарадан даромадлар"
"uz9560","9560","Income from revaluation of securities","income_other","Қимматли қоғозларни қайта баҳолашдан даромадлар"
"uz9590","9590","Other income from financial activities","income_other","Молиявий фаолиятнинг бошқа даромадлари"
"uz9610","9610","Expenses in the form of interest","expense","Фоизлар кўринишидаги харажатлар"
"uz9620","9620","Losses from exchange rate differences","expense","Валюталар курслари фарқидан зарарлар"
"uz9630","9630","Expenses for issuing and distributing securities","expense","Қимматли қоғозларни чиқариш ва тарқатиш бўйича харажатлар"
"uz9690","9690","Other expenses for financial activities","expense","Молиявий фаолият бўйича бошқа харажатлар"
"uz9710","9710","Benefits from emergency situations","income_other","Фавқулодда вазиятлардан олинган фойдалар"
"uz9720","9720","Damages caused by emergency situations","expense","Фавқулодда вазиятлардан кўрилган зарарлар"
"uz9810","9810","Income tax expenses","expense","Фойда солиғи бўйича харажатлар"
"uz9820","9820","Expenses on other tax liabilities calculated from profit","expense","Фойдадан ҳисобланган бошқа солиқ мажбуриятлари бўйича харажатлар"
"uz9910","9910","Final financial result (profit or loss)","equity_unaffected","Якуний молиявий натижа (фойда ёки зарар)"
"uz0010","0010","Operating leased capital equipment","off_balance","Оператив ижарага олинган асосий воситалар"
"uz0020","0020","Goods and material resources accepted for responsible storage","off_balance","Масъул сақлашга қабул қилинган товар-моддий захиралар"
"uz0030","0030","Recycled materials","off_balance","Қайта ишловга қабул қилинган материаллар"
"uz0040","0040","Goods accepted under the mediation contract","off_balance","Воситачилик шартномаси бўйича қабул қилинган товарлар"
"uz0050","0050","Accepted equipment for installation","off_balance","Ўрнатиш учун қабул қилинган ускуналар"
"uz0060","0060","Fixed account forms","off_balance","Қатъий ҳисобдаги бланкалар"
"uz0070","0070","Debts of insolvent debtors written off as losses","off_balance","Тўловга қобилиятсиз дебиторларнинг зарарга ўтказилиб ҳисобдан чиқарилган қарзи"
"uz0080","0080","Ensuring obligations and payments - received","off_balance","Мажбуриятлар ва тўловларни таъминлаш — олинган"
"uz0090","0090","Ensuring obligations and payments - given","off_balance","Мажбуриятлар ва тўловларни таъминлаш — берилган"
"uz0100","0100","The main means provided under the financial lease agreement","off_balance","Молиявий ижара шартномаси бўйича берилган асосий воситалар"
"uz0110","0110","Property acquired under a loan agreement","off_balance","Ссуда шартномаси бўйича олинган мулк"
"uz0120","0120","Expenses deducted from the taxable base in future periods","off_balance","Келгуси даврларда солиқ солинадиган базадан чегириладиган харажатлар"
"uz0130","0130","Temporary tax and customs benefits (by type)","off_balance","Вақтинчалик солиқ ва божхона имтиёзлари (турлари бўйича)"
"uz0140","0140","Inventory and household equipment in use","off_balance","Фойдаланишдаги инвентарь ва хўжалик жиҳозлари"
"uz0150","0150","Property acquired under a joint venture agreement","off_balance","Оддий ширкат шартномаси (биргаликдаги фаолият) бўйича олинган мулк"
"uz0160","0160","Intangible assets received under the right of use","off_balance","Фойдаланиш ҳуқуқи бўйича олинган номоддий активлар"
